id,title,link,summary,published,category
http://www.pbs.org/newshour/rundown/u-s-backed-syrian-forces-recapture-raqqa-from-islamic-state-group/,"U.S.-backed Syrian forces recapture Raqqa from Islamic State group",http://www.pbs.org/newshour/rundown/u-s-backed-syrian-forces-recapture-raqqa-from-islamic-state-group/,"U.S.-backed Syrian Democratic Forces announced Tuesday that they had captured the city of Raqqa from Islamic State militants.",,Others
http://www.pbs.org/newshour/rundown/watch-live-trump-and-greek-prime-minister-hold-joint-press-conference/,"WATCH: Trump and Greek prime minister hold joint news conference",http://www.pbs.org/newshour/rundown/watch-live-trump-and-greek-prime-minister-hold-joint-press-conference/,"President Donald Trump says the U.S. stands with Greece as they recover from their economic crisis.",,Others
http://www.pbs.org/newshour/rundown/u-s-japan-agree-maximize-diplomatic-pressure-north-korea/,"U.S., Japan agree to maximize diplomatic pressure on North Korea",http://www.pbs.org/newshour/rundown/u-s-japan-agree-maximize-diplomatic-pressure-north-korea/,"TOKYO — U.S. and Japanese diplomats agreed Tuesday to maximize pressure on North Korea to resolve tensions over its nuclear program, while citing the need to be prepared for the worst if diplomacy fails.",,Others
http://www.pbs.org/newshour/bb/news-wrap-dozens-missing-deadly-mogadishu-truck-bombing/,"News Wrap: Dozens missing after deadly Mogadishu truck bombing",http://www.pbs.org/newshour/bb/news-wrap-dozens-missing-deadly-mogadishu-truck-bombing/,"In our news wrap Monday, more than 300 people are confirmed dead and nearly 400 wounded after Saturday’s massive truck bombing in Somalia’s capital Mogadishu. The government blamed the al-Qaida-linked group al-Shabab. Also, 31-year-old conservative Sebastian Kurz is set to become the Austria’s next leader in another shift to the right in European politics.",,Others
http://www.pbs.org/newshour/bb/power-struggle-broken-kirkuk/,"Why a power struggle has broken out over Kirkuk",http://www.pbs.org/newshour/bb/power-struggle-broken-kirkuk/,"Two vital American allies have reignited their rivalry in Iraq. After months of simmering tensions, national military forces and militia moved to push Kurdish forces out of the disputed city of Kirkuk. Three weeks ago, the Kurds held a referendum to split from Iraq. Lisa Desjardins reports and Judy Woodruff talks with Emma Sky of Yale University and Feisal Istrabadi of Indiana University.",,Others
http://www.pbs.org/newshour/rundown/rex-tillerson-says-continue-diplomacy-north-korea-first-bomb-drops/,"Rex Tillerson says continue diplomacy with North Korea ‘until first bomb drops’",http://www.pbs.org/newshour/rundown/rex-tillerson-says-continue-diplomacy-north-korea-first-bomb-drops/,"That statement comes despite President Donald Trump's tweets a couple of weeks ago that his chief envoy was ""wasting his time"" trying to negotiate with ""Little Rocket Man,"" a mocking nickname Trump has given the nuclear-armed nation's leader, Kim Jong Un.",,Others
http://www.pbs.org/newshour/bb/iraqi-kurdish-forces-standoff-weeks-kurdish-vote-independence/,"Iraqi, Kurdish forces in standoff, weeks after Kurdish vote for independence",http://www.pbs.org/newshour/bb/iraqi-kurdish-forces-standoff-weeks-kurdish-vote-independence/,"Iraqi army and Kurdish troops are in a standoff in Kirkuk, a city located in the Kurdistan region, which voted for independence from Iraq last month. Kirkuk holds 10 percent of Iraq’s oil reserves. Washington Post reporter Loveday Morris, who is covering the standoff, joins Hari Sreenivasan via Skype from Baghdad.",,Others
http://www.pbs.org/newshour/bb/south-sudan-civil-war-causes-africas-worst-refugee-crisis/,"South Sudan civil war causes Africa’s worst refugee crisis",http://www.pbs.org/newshour/bb/south-sudan-civil-war-causes-africas-worst-refugee-crisis/,"South Sudan’s four-year civil war has left half of the nation’s population, 6 million people, in need of humanitarian aid and caused one of the world’s worst refugee crises. With support from the U.S. Holocaust Memorial Museum’s Center for the Prevention of Genocide, NewsHour Weekend Special Correspondent Simona Foltyn and journalist Jason Patinkin traveled to Uganda to meet people desperate for asylum.",,Others
http://www.pbs.org/newshour/rundown/hundreds-dead-massive-truck-bomb-strikes-mogadishu/,"Hundreds dead after massive truck bomb strikes Mogadishu",http://www.pbs.org/newshour/rundown/hundreds-dead-massive-truck-bomb-strikes-mogadishu/,"At least 231 people were killed and hundreds more wounded after a massive truck bomb on Saturday struck Somalia's capital city of Mogadishu.",,Others
http://www.pbs.org/newshour/updates/reporters-notebook-reporting-south-sudan-difficult-critically-needed/,"Column: Why reporting from South Sudan is so difficult — and critically needed",http://www.pbs.org/newshour/updates/reporters-notebook-reporting-south-sudan-difficult-critically-needed/,"The war has had a devastating impact on South Sudanese communities, but much of it has remained out of the limelight of international media.",,Others
